id,title,genre
546554,Knives Out,"Comedy,Crime,Mystery"
45243,The Hangover Part II,Comedy
337339,The Fate of the Furious,"Action,Crime,Thriller"
294254,Maze Runner: The Scorch Trials,"Science Fiction,Action,Thriller,Adventure"
41154,Men in Black 3,"Action,Comedy,Science Fiction"
262500,Insurgent,"Action,Adventure,Science Fiction,Thriller"
59967,Looper,"Action,Thriller,Science Fiction"
64688,21 Jump Street,"Action,Comedy,Crime"
372058,Your Name.,"Romance,Animation,Drama"
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Action,Crime"
196,Back to the Future Part III,"Adventure,Comedy,Science Fiction"
283366,Miss Peregrine's Home for Peculiar Children,"Fantasy,Adventure,Family,Drama"
1593,Night at the Museum,"Action,Adventure,Comedy,Family,Fantasy"
343668,Kingsman: The Golden Circle,"Action,Adventure,Comedy,Science Fiction,Crime"
13475,Star Trek,"Science Fiction,Action,Adventure"
787,Mr. & Mrs. Smith,"Action,Comedy,Drama,Thriller"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure,Family,Fantasy"
36658,X2,"Adventure,Action,Science Fiction"
629,The Usual Suspects,"Drama,Crime,Thriller"
510,One Flew Over the Cuckoo's Nest,Drama
420817,Aladdin,"Adventure,Fantasy,Romance,Family"
600,Full Metal Jacket,"Drama,War"
359940,"Three Billboards Outside Ebbing, Missouri","Crime,Drama"
453,A Beautiful Mind,"Drama,Romance"
652,Troy,"Adventure,History,War,Action"
420818,The Lion King,"Adventure,Family,Animation,Drama"
1949,Zodiac,"Crime,Drama,Mystery,Thriller"
854,The Mask,"Romance,Comedy,Crime,Fantasy"
10020,Beauty and the Beast,"Romance,Family,Animation,Fantasy"
19913,(500) Days of Summer,"Comedy,Drama,Romance"
392044,Murder on the Orient Express,"Mystery,Crime,Drama"
197,Braveheart,"Action,Drama,History,War"
608,Men in Black II,"Action,Adventure,Comedy,Science Fiction"
578,Jaws,"Horror,Thriller,Adventure"
405774,Bird Box,"Thriller,Drama,Science Fiction"
950,Ice Age: The Meltdown,"Animation,Family,Comedy,Adventure"
56292,Mission: Impossible - Ghost Protocol,"Action,Thriller,Adventure"
1402,The Pursuit of Happyness,Drama
5915,Into the Wild,"Adventure,Drama"
76170,The Wolverine,"Action,Science Fiction,Adventure,Fantasy"
36668,X-Men: The Last Stand,"Adventure,Action,Science Fiction,Thriller"
9799,The Fast and the Furious,"Action,Crime,Thriller"
330457,Frozen II,"Family,Animation,Adventure,Comedy,Fantasy"
539,Psycho,"Horror,Drama,Thriller"
627,Trainspotting,"Drama,Crime"
89,Indiana Jones and the Last Crusade,"Adventure,Action"
605,The Matrix Revolutions,"Adventure,Action,Thriller,Science Fiction"
82702,How to Train Your Dragon 2,"Fantasy,Action,Adventure,Animation,Comedy,Family"
8960,Hancock,"Fantasy,Action"
641,Requiem for a Dream,"Crime,Drama"
508442,Soul,"Animation,Family,Comedy,Fantasy,Drama"
316029,The Greatest Showman,Drama
454626,Sonic the Hedgehog,"Action,Science Fiction,Comedy,Family"
110415,Snowpiercer,"Action,Science Fiction,Drama"
1359,American Psycho,"Thriller,Drama,Crime"
301528,Toy Story 4,"Family,Adventure,Animation,Comedy,Fantasy,Drama"
9738,Fantastic Four,"Action,Adventure,Fantasy,Science Fiction"
10674,Mulan,"Animation,Family,Adventure"
602,Independence Day,"Action,Adventure,Science Fiction"
54138,Star Trek Into Darkness,"Action,Adventure,Science Fiction"
264644,Room,"Drama,Thriller"
399566,Godzilla vs. Kong,"Action,Fantasy,Science Fiction"
70,Million Dollar Baby,Drama
458156,John Wick: Chapter 3 - Parabellum,"Action,Thriller,Crime"
17654,District 9,Science Fiction
18239,The Twilight Saga: New Moon,"Adventure,Fantasy,Drama,Romance"
381284,Hidden Figures,"Drama,History"
591,The Da Vinci Code,"Thriller,Mystery"
181812,Star Wars: The Rise of Skywalker,"Adventure,Action,Science Fiction"
791373,Zack Snyder's Justice League,"Action,Adventure,Fantasy,Science Fiction"
9741,Unbreakable,"Thriller,Drama,Mystery"
497698,Black Widow,"Action,Adventure,Science Fiction"
2501,The Bourne Identity,"Action,Drama,Mystery,Thriller"
772,Home Alone 2: Lost in New York,"Comedy,Family,Adventure"
679,Aliens,"Action,Thriller,Science Fiction"
9487,A Bug's Life,"Adventure,Animation,Comedy,Family"
50620,The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Fantasy,Drama,Romance"
287947,Shazam!,"Action,Comedy,Fantasy"
13183,Watchmen,"Action,Mystery,Science Fiction"
124905,Godzilla,"Action,Drama,Science Fiction"
580489,Venom: Let There Be Carnage,"Science Fiction,Action,Adventure"
466282,To All the Boys I've Loved Before,"Comedy,Romance"
50619,The Twilight Saga: Breaking Dawn - Part 1,"Adventure,Fantasy,Romance"
24021,The Twilight Saga: Eclipse,"Adventure,Fantasy,Drama,Romance"
515001,Jojo Rabbit,"Comedy,War,Drama"
